Second: [1s] | Ask: 1.15603, Bid: 1.15601
Second: [28s] | Ask: 1.15604, Bid: 1.15602
Second: [29s] | Ask: 1.15604, Bid: 1.15602
Second: [30s] | Ask: 1.15604, Bid: 1.15602
Second: [31s] | Ask: 1.15604, Bid: 1.15602
Second: [32s] | Ask: 1.15604, Bid: 1.15602
Second: [33s] | Ask: 1.15603, Bid: 1.15601
Second: [34s] | Ask: 1.15603, Bid: 1.15601
Second: [35s] | Ask: 1.15603, Bid: 1.15601
Second: [36s] | Ask: 1.15597, Bid: 1.15595
Second: [37s] | Ask: 1.15597, Bid: 1.15595
Second: [38s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [39s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [40s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [41s] | Ask: 1.15597, Bid: 1.15595
Second: [42s] | Ask: 1.15597, Bid: 1.15595
Second: [43s] | Ask: 1.15597, Bid: 1.15595
Second: [44s] | Ask: 1.15597, Bid: 1.15595
Second: [45s] | Ask: 1.1559599999999999, Bid: 1.15594
Second: [46s] | Ask: 1.1559599999999999, Bid: 1.15594
Second: [47s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [48s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [49s] | Ask: 1.15594, Bid: 1.15592
Second: [50s] | Ask: 1.15594, Bid: 1.15592
Second: [51s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [52s] | Ask: 1.15594, Bid: 1.15592
Second: [53s] | Ask: 1.15594, Bid: 1.15592
Second: [54s] | Ask: 1.15594, Bid: 1.15592
Second: [55s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [56s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [57s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [58s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [59s] | Ask: 1.15595, Bid: 1.1559300000000001

RESULTADO: SHORT
---------------------------------------------------------

Second: [1s] | Ask: 1.15594, Bid: 1.15592
Second: [2s] | Ask: 1.15594, Bid: 1.15592
Second: [3s] | Ask: 1.15594, Bid: 1.15592
Second: [4s] | Ask: 1.15594, Bid: 1.15592
Second: [5s] | Ask: 1.15594, Bid: 1.15592
Second: [6s] | Ask: 1.15594, Bid: 1.15592
Second: [7s] | Ask: 1.15594, Bid: 1.15592
Second: [8s] | Ask: 1.15594, Bid: 1.15592
Second: [9s] | Ask: 1.15594, Bid: 1.15592
Second: [10s] | Ask: 1.1559300000000001, Bid: 1.15591
Second: [11s] | Ask: 1.15599, Bid: 1.15597
Second: [12s] | Ask: 1.1559300000000001, Bid: 1.15591
Second: [13s] | Ask: 1.1559300000000001, Bid: 1.15591
Second: [14s] | Ask: 1.1559599999999999, Bid: 1.15594
Second: [15s] | Ask: 1.15594, Bid: 1.15592
Second: [16s] | Ask: 1.15594, Bid: 1.15592
Second: [17s] | Ask: 1.156, Bid: 1.15598
Second: [18s] | Ask: 1.156, Bid: 1.15598
Second: [19s] | Ask: 1.156, Bid: 1.15598
Second: [20s] | Ask: 1.15601, Bid: 1.15599
Second: [21s] | Ask: 1.15601, Bid: 1.15599
Second: [22s] | Ask: 1.15601, Bid: 1.15599
Second: [23s] | Ask: 1.15601, Bid: 1.15599
Second: [24s] | Ask: 1.15601, Bid: 1.15599
Second: [25s] | Ask: 1.15601, Bid: 1.15599
Second: [26s] | Ask: 1.15601, Bid: 1.15599
Second: [27s] | Ask: 1.15601, Bid: 1.15599
Second: [28s] | Ask: 1.15601, Bid: 1.15599
Second: [29s] | Ask: 1.15601, Bid: 1.15599
Second: [30s] | Ask: 1.15601, Bid: 1.15599
Second: [31s] | Ask: 1.15601, Bid: 1.15599
Second: [32s] | Ask: 1.15604, Bid: 1.15602
Second: [33s] | Ask: 1.15604, Bid: 1.15602
Second: [34s] | Ask: 1.15604, Bid: 1.15602
Second: [35s] | Ask: 1.15604, Bid: 1.15602
Second: [36s] | Ask: 1.15604, Bid: 1.15602
Second: [37s] | Ask: 1.15604, Bid: 1.15602
Second: [38s] | Ask: 1.15604, Bid: 1.15602
Second: [39s] | Ask: 1.15604, Bid: 1.15602
Second: [40s] | Ask: 1.15604, Bid: 1.15602
Second: [41s] | Ask: 1.15604, Bid: 1.15602
Second: [42s] | Ask: 1.15604, Bid: 1.15602
Second: [43s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [44s] | Ask: 1.15597, Bid: 1.15595
Second: [45s] | Ask: 1.15603, Bid: 1.15601
Second: [46s] | Ask: 1.15603, Bid: 1.15601
Second: [47s] | Ask: 1.15597, Bid: 1.15595
Second: [48s] | Ask: 1.15597, Bid: 1.15595
Second: [49s] | Ask: 1.15597, Bid: 1.15595
Second: [50s] | Ask: 1.15597, Bid: 1.15595
Second: [51s] | Ask: 1.15597, Bid: 1.15595
Second: [52s] | Ask: 1.15597, Bid: 1.15595
Second: [53s] | Ask: 1.15597, Bid: 1.15595
Second: [54s] | Ask: 1.15597, Bid: 1.15595
Second: [55s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [56s] | Ask: 1.15605, Bid: 1.15603
Second: [57s] | Ask: 1.15604, Bid: 1.15602
Second: [58s] | Ask: 1.15604, Bid: 1.15602
Second: [59s] | Ask: 1.15604, Bid: 1.15602

RESULTADO: LONG
---------------------------------------------------------


Second: [1s] | Ask: 1.15604, Bid: 1.15602
Second: [2s] | Ask: 1.15604, Bid: 1.15602
Second: [3s] | Ask: 1.15604, Bid: 1.15602
Second: [4s] | Ask: 1.15601, Bid: 1.15599
Second: [5s] | Ask: 1.15604, Bid: 1.15602
Second: [6s] | Ask: 1.15604, Bid: 1.15602
Second: [7s] | Ask: 1.15601, Bid: 1.15599
Second: [8s] | Ask: 1.15604, Bid: 1.15602
Second: [9s] | Ask: 1.15607, Bid: 1.15605
Second: [10s] | Ask: 1.15607, Bid: 1.15605
Second: [11s] | Ask: 1.15607, Bid: 1.15605
Second: [12s] | Ask: 1.15607, Bid: 1.15605
Second: [13s] | Ask: 1.15602, Bid: 1.156
Second: [14s] | Ask: 1.15603, Bid: 1.15601
Second: [15s] | Ask: 1.15603, Bid: 1.15601
Second: [16s] | Ask: 1.15604, Bid: 1.15602
Second: [17s] | Ask: 1.15604, Bid: 1.15602
Second: [18s] | Ask: 1.15601, Bid: 1.15599
Second: [19s] | Ask: 1.15604, Bid: 1.15602
Second: [20s] | Ask: 1.156, Bid: 1.15598
Second: [21s] | Ask: 1.156, Bid: 1.15598
Second: [22s] | Ask: 1.15601, Bid: 1.15599
Second: [23s] | Ask: 1.15603, Bid: 1.15601
Second: [24s] | Ask: 1.15603, Bid: 1.15601
Second: [25s] | Ask: 1.15603, Bid: 1.15601
Second: [26s] | Ask: 1.15604, Bid: 1.15602
Second: [27s] | Ask: 1.15604, Bid: 1.15602
Second: [28s] | Ask: 1.15601, Bid: 1.15599
Second: [29s] | Ask: 1.15602, Bid: 1.156
Second: [30s] | Ask: 1.15605, Bid: 1.15603
Second: [31s] | Ask: 1.15605, Bid: 1.15603
Second: [32s] | Ask: 1.15604, Bid: 1.15602
Second: [33s] | Ask: 1.15601, Bid: 1.15599
Second: [34s] | Ask: 1.15604, Bid: 1.15602
Second: [35s] | Ask: 1.15604, Bid: 1.15602
Second: [36s] | Ask: 1.15604, Bid: 1.15602
Second: [37s] | Ask: 1.15604, Bid: 1.15602
Second: [38s] | Ask: 1.15604, Bid: 1.15602
Second: [39s] | Ask: 1.15607, Bid: 1.15605
Second: [40s] | Ask: 1.15607, Bid: 1.15605
Second: [41s] | Ask: 1.15607, Bid: 1.15605
Second: [42s] | Ask: 1.15607, Bid: 1.15605
Second: [43s] | Ask: 1.15607, Bid: 1.15605
Second: [44s] | Ask: 1.15607, Bid: 1.15605
Second: [45s] | Ask: 1.15607, Bid: 1.15605
Second: [46s] | Ask: 1.15605, Bid: 1.15603
Second: [47s] | Ask: 1.15608, Bid: 1.15606
Second: [48s] | Ask: 1.15608, Bid: 1.15606
Second: [49s] | Ask: 1.15608, Bid: 1.15606
Second: [50s] | Ask: 1.15608, Bid: 1.15606
Second: [51s] | Ask: 1.15608, Bid: 1.15606
Second: [52s] | Ask: 1.15609, Bid: 1.15607
Second: [53s] | Ask: 1.15609, Bid: 1.15607
Second: [54s] | Ask: 1.15609, Bid: 1.15607
Second: [55s] | Ask: 1.15609, Bid: 1.15607
Second: [56s] | Ask: 1.15609, Bid: 1.15607
Second: [57s] | Ask: 1.15609, Bid: 1.15607
Second: [58s] | Ask: 1.15609, Bid: 1.15607
Second: [59s] | Ask: 1.15609, Bid: 1.15607

RESULTADO: LONG
---------------------------------------------------------


Second: [1s] | Ask: 1.15608, Bid: 1.15606
Second: [2s] | Ask: 1.15608, Bid: 1.15606
Second: [3s] | Ask: 1.15608, Bid: 1.15606
Second: [4s] | Ask: 1.1561, Bid: 1.15608
Second: [5s] | Ask: 1.15607, Bid: 1.15605
Second: [6s] | Ask: 1.15607, Bid: 1.15605
Second: [7s] | Ask: 1.15607, Bid: 1.15605
Second: [8s] | Ask: 1.15607, Bid: 1.15605
Second: [9s] | Ask: 1.15607, Bid: 1.15605
Second: [10s] | Ask: 1.15607, Bid: 1.15605
Second: [11s] | Ask: 1.15607, Bid: 1.15605
Second: [12s] | Ask: 1.15607, Bid: 1.15605
Second: [13s] | Ask: 1.15607, Bid: 1.15605
Second: [14s] | Ask: 1.15604, Bid: 1.15602
Second: [15s] | Ask: 1.15607, Bid: 1.15605
Second: [16s] | Ask: 1.15607, Bid: 1.15605
Second: [17s] | Ask: 1.15606, Bid: 1.15604
Second: [18s] | Ask: 1.15606, Bid: 1.15604
Second: [19s] | Ask: 1.15609, Bid: 1.15607
Second: [20s] | Ask: 1.15603, Bid: 1.15601
Second: [21s] | Ask: 1.15604, Bid: 1.15602
Second: [22s] | Ask: 1.15604, Bid: 1.15602
Second: [23s] | Ask: 1.15604, Bid: 1.15602
Second: [24s] | Ask: 1.15607, Bid: 1.15605
Second: [25s] | Ask: 1.15607, Bid: 1.15605
Second: [26s] | Ask: 1.15606, Bid: 1.15604
Second: [27s] | Ask: 1.15606, Bid: 1.15604
Second: [28s] | Ask: 1.15606, Bid: 1.15604
Second: [29s] | Ask: 1.15603, Bid: 1.15601
Second: [30s] | Ask: 1.15603, Bid: 1.15601
Second: [31s] | Ask: 1.15603, Bid: 1.15601
Second: [32s] | Ask: 1.15603, Bid: 1.15601
Second: [33s] | Ask: 1.15603, Bid: 1.15601
Second: [34s] | Ask: 1.15603, Bid: 1.15601
Second: [35s] | Ask: 1.15603, Bid: 1.15601
Second: [36s] | Ask: 1.15603, Bid: 1.15601
Second: [37s] | Ask: 1.15603, Bid: 1.15601
Second: [38s] | Ask: 1.15603, Bid: 1.15601
Second: [39s] | Ask: 1.15603, Bid: 1.15601
Second: [40s] | Ask: 1.15602, Bid: 1.156
Second: [41s] | Ask: 1.15597, Bid: 1.15595
Second: [42s] | Ask: 1.15597, Bid: 1.15595
Second: [43s] | Ask: 1.1559599999999999, Bid: 1.15594
Second: [44s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [45s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [46s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [47s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [48s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [49s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [50s] | Ask: 1.15601, Bid: 1.15599
Second: [51s] | Ask: 1.15604, Bid: 1.15602
Second: [52s] | Ask: 1.15604, Bid: 1.15602
Second: [53s] | Ask: 1.15604, Bid: 1.15602
Second: [54s] | Ask: 1.15604, Bid: 1.15602
Second: [55s] | Ask: 1.15604, Bid: 1.15602
Second: [56s] | Ask: 1.15604, Bid: 1.15602
Second: [57s] | Ask: 1.15604, Bid: 1.15602
Second: [58s] | Ask: 1.15604, Bid: 1.15602
Second: [59s] | Ask: 1.15604, Bid: 1.15602


RESULTADO: SHORT
---------------------------------------------------------


Second: [1s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [2s] | Ask: 1.15604, Bid: 1.15602
Second: [3s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [4s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [5s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [6s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [7s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [8s] | Ask: 1.15604, Bid: 1.15602
Second: [9s] | Ask: 1.15604, Bid: 1.15602
Second: [10s] | Ask: 1.15604, Bid: 1.15602
Second: [11s] | Ask: 1.15601, Bid: 1.15599
Second: [12s] | Ask: 1.15601, Bid: 1.15599
Second: [13s] | Ask: 1.15601, Bid: 1.15599
Second: [14s] | Ask: 1.15601, Bid: 1.15599
Second: [15s] | Ask: 1.15601, Bid: 1.15599
Second: [16s] | Ask: 1.15601, Bid: 1.15599
Second: [17s] | Ask: 1.15601, Bid: 1.15599
Second: [18s] | Ask: 1.15601, Bid: 1.15599
Second: [19s] | Ask: 1.15601, Bid: 1.15599
Second: [20s] | Ask: 1.15601, Bid: 1.15599
Second: [21s] | Ask: 1.15595, Bid: 1.1559300000000001
Second: [22s] | Ask: 1.15594, Bid: 1.15592
Second: [23s] | Ask: 1.15594, Bid: 1.15592
Second: [24s] | Ask: 1.15594, Bid: 1.15592
Second: [25s] | Ask: 1.15594, Bid: 1.15592
Second: [26s] | Ask: 1.15594, Bid: 1.15592
Second: [27s] | Ask: 1.15594, Bid: 1.15592
Second: [28s] | Ask: 1.15594, Bid: 1.15592
Second: [29s] | Ask: 1.15597, Bid: 1.15595
Second: [30s] | Ask: 1.15597, Bid: 1.15595
Second: [31s] | Ask: 1.1559300000000001, Bid: 1.15591
Second: [32s] | Ask: 1.15597, Bid: 1.15595
Second: [33s] | Ask: 1.15597, Bid: 1.15595
Second: [34s] | Ask: 1.15597, Bid: 1.15595
Second: [35s] | Ask: 1.15597, Bid: 1.15595
Second: [36s] | Ask: 1.15597, Bid: 1.15595
Second: [37s] | Ask: 1.15597, Bid: 1.15595
Second: [38s] | Ask: 1.15597, Bid: 1.15595
Second: [39s] | Ask: 1.15597, Bid: 1.15595
Second: [40s] | Ask: 1.15594, Bid: 1.15592
Second: [41s] | Ask: 1.15597, Bid: 1.15595
Second: [42s] | Ask: 1.1559300000000001, Bid: 1.15591
Second: [43s] | Ask: 1.1559599999999999, Bid: 1.15594
Second: [44s] | Ask: 1.1559599999999999, Bid: 1.15594
Second: [45s] | Ask: 1.156, Bid: 1.15598
Second: [46s] | Ask: 1.156, Bid: 1.15598
Second: [47s] | Ask: 1.156, Bid: 1.15598
Second: [48s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [49s] | Ask: 1.15604, Bid: 1.15602
Second: [50s] | Ask: 1.15601, Bid: 1.15599
Second: [51s] | Ask: 1.15601, Bid: 1.15599
Second: [52s] | Ask: 1.15601, Bid: 1.15599
Second: [53s] | Ask: 1.15601, Bid: 1.15599
Second: [54s] | Ask: 1.15601, Bid: 1.15599
Second: [55s] | Ask: 1.15601, Bid: 1.15599
Second: [56s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [57s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [58s] | Ask: 1.15598, Bid: 1.1559599999999999
Second: [59s] | Ask: 1.15598, Bid: 1.1559599999999999

RESULTADO: LONG
---------------------------------------------------------

